Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,56,26,.683,96.5,91.1,4.83
New York Knicks,42,40,.512,106.5,105.7,0.48
Philadelphia 76ers,41,41,.500,99.0,97.5,1.01
New Jersey Nets,24,58,.293,94.2,100.4,-6.28
Toronto Raptors,22,60,.268,99.1,105.4,-6.28

Chicago Bulls,62,20,.756,98.6,91.3,6.53
Indiana Pacers,37,45,.451,99.8,100.9,-1.38
Milwaukee Bucks,35,47,.427,91.9,92.7,-1.02
Detroit Pistons,30,52,.366,97.0,100.6,-3.78
Cleveland Cavaliers,19,63,.232,95.5,104.5,-8.88

Miami Heat,58,24,.707,102.1,94.6,6.76
Orlando Magic,52,30,.634,99.2,93.7,4.92
Atlanta Hawks,44,38,.537,95.0,95.8,-1.10
Charlotte Bobcats,34,48,.415,93.3,97.3,-4.08
Washington Wizards,23,59,.280,97.3,104.7,-7.30
