Type,Name,Stat-Value
Minutes Played,Michael Finley, 3464
Field Goals,Shaquille O'Neal, 956
Field Goal Attempts,Allen Iverson, 1733
2-Pt Field Goals,Shaquille O'Neal, 956
2-Pt Field Goal Attempts,Shaquille O'Neal, 1664
3-Pt Field Goals,Gary Payton, 177
3-Pt Field Goal Attempts,Gary Payton, 520
Field Goals Missed,Allen Iverson, 1004
Free Throws,Jerry Stackhouse, 618
Free Throw Attempts,Shaquille O'Neal, 824
Offensive Rebounds,Elton Brand, 348
Defensive Rebounds,Dikembe Mutombo, 853
Total Rebounds,Dikembe Mutombo, 1157
Assists,Gary Payton, 732
Steals,Eddie Jones, 192
Blocks,Alonzo Mourning, 294
Turnovers,Jerry Stackhouse, 311
Personal Fouls,Shawn Kemp, 371
Points,Shaquille O'Neal, 2344
Field Goal Pct,Shaquille O'Neal, .574
2-Pt Field Goal Pct,Shaquille O'Neal, .575
3-Pt Field Goal Pct,Hubert Davis, .491
Free Throw Pct,Jeff Hornacek, .950
Minutes Per Game,Michael Finley, 42.2
Points Per Game,Shaquille O'Neal, 29.7
Rebounds Per Game,Dikembe Mutombo, 14.1
Assists Per Game,Jason Kidd, 10.1
Steals Per Game,Eddie Jones, 2.7
Blocks Per Game,Alonzo Mourning, 3.7
Player Efficiency Rating,Shaquille O'Neal, 30.6
True Shooting Pct,Dikembe Mutombo, .621
Effective Field Goal Pct,Brent Barry, .579
Offensive Rebound Pct,Jerome Williams, 15.3
Defensive Rebound Pct,Dikembe Mutombo, 31.3
Total Rebound Pct,Jerome Williams, 21.7
Assist Pct,John Stockton, 48.1
Steal Pct,Eddie Jones, 3.5
Block Pct,Greg Ostertag, 8.2
Turnover Pct,Kerry Kittles, 6.9
Usage Pct,Allen Iverson, 34.4
Offensive Rating,John Stockton, 120.5
Defensive Rating,David Robinson, 92.2
Offensive Win Shares,Shaquille O'Neal, 11.7
Defensive Win Shares,Shaquille O'Neal, 7.0
Win Shares,Shaquille O'Neal, 18.6
Win Shares Per 48 Minutes,Shaquille O'Neal, .283
Box Plus/Minus,Shaquille O'Neal, 9.7
Offensive Box Plus/Minus,Gary Payton, 6.7
Defensive Box Plus/Minus,Bo Outlaw, 5.6
Value Over Replacement Player,Shaquille O'Neal, 9.3
