Year, Name, POS, HGT, Age, WGT, Team, W-L, GP, GS, Min, FGM-A, FG%, 3PM-A,3P%, FTM-A, FT%, OR, DR, REB, AST, BLK, STL, PF, TO, PTS
2008,Kobe Bryant,SF,6' 6",30,212,LAL,57-25,82,82,38.9,9.5-20.6,.459,1.8-5.1,.361,7.6-9.0,.840,1.2,5.2,6.3,5.4,0.5,1.8,2.8,3.1,28.3
2009,LeBron James,SF,6' 8",25,250,CLE,66-16,81,81,37.7,9.7-19.9,.489,1.6-4.7,.344,7.3-9.4,.780,1.3,6.3,7.6,7.2,1.1,1.7,1.7,3.0,28.4
2010,LeBron James,SF,6' 8",26,250,CLE,61-21,76,76,39.0,10.1-20.1,.503,1.7-5.1,.333,7.8-10.2,.767,0.9,6.4,7.3,8.6,1.0,1.6,1.6,3.4,29.7
2011,Derrick Rose,PG,6' 3",23,190,CHI,62-20,81,81,37.4,8.8-19.7,.445,1.6-4.8,.332,5.9-6.9,.858,1.0,3.1,4.1,7.7,0.6,1.0,1.7,3.4,25.0
2012,LeBron James,SF,6' 8",28,250,MIA,46-20,62,62,37.5,10.0-18.9,.531,0.9-2.4,.362,6.2-8.1,.771,1.5,6.4,7.9,6.2,0.8,1.9,1.5,3.4,27.1
2013,LeBron James,SF,6' 8",29,250,MIA,66-16,76,76,37.9,10.1-17.8,.565,1.4-3.3,.406,5.3-7.0,.753,1.3,6.8,8.0,7.3,0.9,1.7,1.4,3.0,26.8
2014,Kevin Durant,SF,6' 9",26,240,OKC,59-23,81,81,38.5,10.5-20.8,.503,2.4-6.1,.391,8.7-9.9,.873,0.7,6.7,7.4,5.5,0.7,1.3,2.1,3.5,32.0
2015,Stephen Curry,PG,6' 3",28,190,GS,67-15,80,80,32.7,8.2-16.8,.487,3.6-8.1,.443,3.9-4.2,.914,0.7,3.6,4.3,7.7,0.2,2.0,2.0,3.1,23.8
2016,Stephen Curry,PG,6' 3",29,190,GS,73-9,79,79,34.2,10.2-20.2,.504,5.1-11.2,.454,4.6-5.1,.908,0.9,4.6,5.4,6.7,0.2,2.1,2.0,3.3,30.1
2017,Russell Westbrook,PG,6' 3",29,200,OKC,47-35,81,81,34.6,10.2-24.0,.425,2.5-7.2,.343,8.8-10.4,.845,1.7,9.0,10.7,10.4,0.4,1.6,2.3,5.4,31.6
