Name, POS, HGT, Age, WGT, Team, W-L, GP, GS, Min, FGM-A, FG%, 3PM-A,3P%, FTM-A, FT%, OR, DR, REB, AST, BLK, STL, PF, TO, PTS
LeBron James,SF,6' 8",34,250,CLE,45-30,74,74,37.1,10.5-19.2,.548,1.8-4.9,.362,4.6-6.3,.726,1.2,7.4,8.6,9.1,0.9,1.5,1.7,4.2,27.4
James Harden,PG,6' 5",29,220,HOU,61-14,66,66,35.5,9.1-20.4,.448,3.8-10.3,.367,8.7-10.1,.864,0.6,4.8,5.4,8.7,0.7,1.8,2.4,4.3,30.7
Anthony Davis,PF,6' 10",26,253,NO,43-32,68,68,36.4,10.5-19.5,.539,0.8-2.2,.342,6.5-7.8,.834,2.5,8.6,11.1,2.3,2.5,1.5,2.1,2.2,28.3
Russell Westbrook,PG,6' 3",30,200,OKC,44-31,73,73,36.2,9.5-21.0,.452,1.2-4.0,.295,5.2-7.0,.737,1.8,7.9,9.7,10.2,0.2,1.8,2.4,4.7,25.4
Giannis Antetokounmpo,PF,6' 11",24,222,MIL,39-35,69,69,37.0,10.0-18.8,.533,0.6-1.9,.313,6.7-8.8,.759,2.1,7.9,10.0,4.8,1.5,1.5,3.0,2.9,27.2
DeMarcus Cousins,C,6' 11",28,270,NO,43-32,48,48,36.2,8.5-18.0,.470,2.2-6.1,.354,6.1-8.2,.746,2.2,10.7,12.9,5.4,1.6,1.6,3.8,5.0,25.2
Kevin Durant,SF,6' 9",30,240,GS,54-20,60,60,34.7,9.4-18.0,.520,2.6-6.1,.430,5.2-5.9,.887,0.5,6.3,6.8,5.4,1.9,0.8,2.0,3.1,26.6
Stephen Curry,PG,6' 3",31,190,GS,54-20,51,51,32.0,8.4-16.9,.495,4.2-9.8,.423,5.5-5.9,.921,0.7,4.4,5.1,6.1,0.2,1.6,2.2,3.0,26.4
Damian Lillard,PG,6' 3",28,195,POR,46-29,67,67,36.6,8.5-19.3,.441,3.1-8.5,.367,6.6-7.2,.917,0.8,3.7,4.5,6.5,0.4,1.1,1.6,2.9,26.8
Karl-Anthony Towns,C,7' 0",23,248,MIN,43-33,75,75,35.3,7.6-13.9,.543,1.5-3.4,.428,4.2-4.9,.855,2.9,9.3,12.2,2.4,1.5,0.8,3.4,2.0,20.7
